iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.9525285306404836,0.9526451029756758,0.9447287311876885,0.9447253689085375,0.9330891145704451,0.9335335107452452,0.38130556293982565,0.850053894960821,-22361.76420970124,-22324.401924401125,-22335.102923802504,-22333.063641538065,-22500.97801831498
1,0.925369352458291,0.9257721996265257,0.925369352458291,0.9257721996265257,0.9024023700978149,0.9031452965576309,0.9024023700978149,0.9031452965576309,-22461.899016373904,-22414.482088439647,-22414.492978062677,-22425.349087421986,-22425.349087152186
2,0.9253670669154787,0.9257971529438678,0.9100238966778603,0.9101197533292849,0.9100238966778603,0.9104336602312989,0.9100238966778603,0.9104336602312989,-22384.113736980915,-22339.961117807776,-22341.64884733175,-22348.786237838667,-22348.786237845616
3,0.9253693685725124,0.9253699550868697,0.9253693685725124,0.9253699550868697,0.9100260256884888,0.9100158281345603,0.9100260256884888,0.9100158281345603,-22245.86802460229,-22190.439164059924,-22190.520037743347,-22197.683707042394,-22197.683910889846
4,0.9603603264949264,0.960884445346976,0.17726204879381266,0.8899886369674446,0.9447286360191389,0.9454491051726279,0.9447286360191389,0.9454491051726279,-22409.332651171568,-22373.978236672116,-22514.89672708762,-22381.9954959582,-22381.995495958552
5,0.9369597248169398,0.9373422414385779,0.3962853336232429,0.8450167114394136,0.9447273003684039,0.9448786365154932,0.9447273003684039,0.9448786365154932,-22283.305143230915,-22237.495518983327,-22352.828530116727,-22248.428385830728,-22248.428385831015
6,0.9447256808247396,0.9446998541597278,0.9408377256635363,0.9407808346385382,0.9138455232198701,0.9146364726079769,0.0,0.0,-22313.062298968292,-22264.056546698477,-22271.46966194918,-22270.99159824767,-22774.947430861546
7,0.8947850230885978,0.8944083190780706,0.0019852975759318374,0.0026006272199555615,0.002820153403948896,0.0016017757347507023,0.0018405118347025104,0.0007287725030078339,-22209.890083644583,-22140.213521866848,-22564.287416957064,-22566.205829115825,-22565.24554744654
8,0.9682235134377867,0.968160025255953,0.6557557083701281,0.9155940889583013,0.9564393951084862,0.9562400252748674,0.19811871327632458,0.8580944748720128,-22587.407415483598,-22554.850992469535,-22621.509711425144,-22561.64544611866,-22767.70271394117
9,0.936960825897076,0.9373579328864116,0.936960825897076,0.9373579328864116,0.9408407281144432,0.9413582190952485,0.21265639604776274,0.8387540424295153,-22667.038356953926,-22617.17401321036,-22617.120842726377,-22625.014168382324,-22786.600356381357
10,0.9603603383744308,0.9602317322703673,0.04398891734478034,0.8299768031734447,0.9062102309063399,0.9084499755768064,0.0,0.0,-22106.25639720124,-22071.485727080213,-22259.323459318923,-22083.054786668978,-22751.427743455617
11,0.9525280803331702,0.9526308963865843,0.9330887246308441,0.9332815025518582,0.9408403329967475,0.9414420825409515,0.0,0.0,-22288.166471355915,-22253.43892244168,-22279.80464053822,-22261.84439323032,-22835.949818299876
12,0.94862460102697,0.9485501665722827,0.9253692633011019,0.9268118184169729,0.9447286853978337,0.9445592480852266,0.9447286853978337,0.9445592480852266,-22557.776515060934,-22524.820502564107,-22536.21399911103,-22534.280343454964,-22534.280343454837
13,0.9447286881837731,0.9451295871914291,0.5863429541230918,0.7556056332464662,0.9447286960311885,0.9451295245804422,0.9447286960311885,0.9451295245804422,-22103.858915739907,-22064.312306976597,-22250.4070198075,-22071.548624289135,-22071.54862428904
14,0.956440120989543,0.9564792560708341,0.7990295395625046,0.853995411159687,0.9564401721680381,0.9563982537493703,0.6622549109383958,0.8969082165797072,-22250.17033655825,-22213.094796632333,-22266.591437294053,-22225.034554626793,-22303.654119250736
15,0.9215212549142362,0.9217701251484,0.9215212549142362,0.9217701251484,0.9215213301532855,0.9218508031678386,0.9215213301532855,0.9218508031678386,-22663.188747578926,-22615.9847849719,-22616.06378012711,-22623.833560736413,-22623.83356073646
16,0.9330890489843948,0.9331249838674355,0.9330890489843948,0.9331249838674355,0.9330890386347884,0.9327972289711388,0.0,0.0,-22463.33818216526,-22418.16720117501,-22418.2011905881,-22425.639683849364,-23111.66111258943
17,0.9100241082742182,0.9105733814704686,0.9100241082742182,0.9105733814704686,0.9253679688921839,0.9253616504692177,0.9253679688921839,0.9253616504692177,-22092.577870978228,-22038.80230771196,-22038.76748008874,-22049.83065189782,-22049.83063785042
18,0.9447267010810753,0.9450419382446755,0.9369583768371351,0.9374453302177745,0.9138463183452616,0.9152998569477871,0.9138463183452616,0.9152998569477871,-22543.157661769583,-22500.13775866448,-22506.49069671788,-22508.3327444195,-22508.33274442296
19,0.9330890993292625,0.9330486361444106,0.9253693702954463,0.9252912798050532,0.9062102643277733,0.9074753747495995,0.00018385929407507164,-0.0013837420041538896,-22326.702665739907,-22293.89942171757,-22299.716097220247,-22313.153859707287,-22837.482058838406
20,0.9253692996550924,0.9254768572658492,0.07747895179404701,0.7779991934165726,0.9138497806866586,0.9142605788084162,0.5924921240600095,0.895417549531729,-22280.144658599602,-22241.800812646547,-22386.544322380665,-22249.11996608792,-22376.459531955148
21,0.9138498296503311,0.9139357498980505,0.9138498296503311,0.9139357498980505,0.9100259959851967,0.9103405713496218,0.9100259959851967,0.9103405713496218,-22486.113778028575,-22429.446279476215,-22429.42688644301,-22439.350077206793,-22439.350077240495
22,0.9138498688601779,0.9148995851682782,0.9176817013113594,0.918576773816268,0.8948108388893323,0.8952999423895809,0.8948108388893323,0.8952999423895809,-22615.736578617594,-22548.52294555813,-22551.938723028557,-22557.48992360965,-22557.489923609657
23,0.9138496772648568,0.9140007732973425,0.9062100223206918,0.90624285852748,0.8797238977425814,0.8801096759358904,0.8610446572313752,0.8640367945118607,-22382.676782542945,-22320.49647927978,-22321.775611590663,-22333.141732532553,-22333.987030584038
