iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.00014555556650875184,-0.002833281052803375,-0.0028941180812326324,-0.0047312454790009355,0.0032003860414685976,0.0021007570582299772,0.0032003860414685976,0.0021007570582299772,-9930.763321721859,-9784.84863286151,-9778.830911185438,-9784.805524273226,-9784.8018267329
1,0.5348971496313834,0.5372742723863597,0.4291433869560507,0.4422288638213178,0.09935500386733852,0.11460677264859101,-0.0011269512297611439,-0.0020854854324299475,-9963.412899975014,-9849.197233086055,-9849.342257120665,-9878.358842586615,-9883.268557234203
2,6.451712833749729e-05,-0.0003077958928485548,0.0017351917879060224,0.00011227306676611041,6.451712833749729e-05,-0.0003077958928485548,6.451712833749729e-05,-0.0003077958928485548,-10034.962704662514,-9904.119067717551,-9903.839468830443,-9904.362735322598,-9904.364694997961
3,0.023834184508319724,0.15594584098838937,0.00040339207313405906,-0.005005487784867221,3.847940178382811e-07,-0.0016520282231363946,0.0,0.0,-10088.887365683191,-9978.4679831475,-9953.438178069093,-9960.598752682208,-9960.547290776998
4,0.010565222052534589,0.003186146602180798,0.0020601844398504122,0.0019421524804575283,0.0,0.0,0.0,0.0,-10018.531855885527,-9882.04476355738,-9881.453395405864,,
5,0.015187927434794907,-0.0023386828990683297,-0.00021554131597433836,-0.002646871147114132,0.0,0.0,-0.004215919502146915,-0.00621622959700246,-10236.122192207491,-10157.883006701797,-10158.166397650384,,-10159.025162993426
6,2.598777693236343e-05,0.0035283340891933126,0.002367361438221298,-0.0009651534012890775,0.0,0.0,0.0,0.0,-10001.991394403987,-9885.581545274676,-9884.93608860951,,
7,0.6201877148306101,0.6207868848471116,0.4667794422350858,0.4870076627238393,0.00879578788541848,0.010631124402481007,0.00879578788541848,0.010631124402481007,-10059.846719487165,-9949.538968944771,-9947.438899728098,-9989.170410241923,-9989.170430223734
8,-0.0005790689491107601,0.0016754390265663315,-0.0076964837724290795,-0.009218660358715925,0.000857612811303036,0.0011386784805371775,0.000857612811303036,0.0011386784805371775,-9915.876623495691,-9768.08914118292,-9768.878866096491,,-9770.935686403462
9,0.4889761123256437,0.4935585451690363,-5.603047611785861e-05,-0.00015850936499207452,0.003226781515726774,0.0014106950214070842,0.001296339264509808,0.0010063406390739664,-10020.17750736485,-9881.596569997277,-9903.361085381368,-9902.50524233027,-9902.609554633851
10,0.0,0.0,-0.000568071846293413,-0.0025822689111018996,0.0,0.0,0.0,0.0,-10006.830704534359,-9892.884466847163,-9892.859985517653,-9894.211379814009,-9894.211406961484
11,-0.005350265809674365,-0.005843214413609273,0.0014877377823435802,-0.0005880702676060405,0.007711719344541677,0.0015112682499459247,0.0012104823609284674,-0.001677317058922544,-9887.677794698497,-9773.748316585848,-9775.09622662321,-9776.3794329091,-9776.379408167948
12,0.004897565848027641,0.004410943747447095,0.009622902507968966,0.02465156936943581,0.0,0.0,0.0,0.0,-9987.588496510527,-9869.329390522205,-9866.400472913281,-9869.801124329562,-9869.801139450135
13,0.023033235523174662,0.015637984288232803,0.0,0.0,6.064153498089786e-05,-0.00010178366459815819,0.0,0.0,-10087.563434266836,-9969.252146663423,-9977.341143121736,,
14,0.014090369211748933,0.013022714287535162,0.011120442419829029,0.010867349304690565,0.0,0.0,0.0,0.0,-10033.4814440645,-9901.34686824419,-9903.606767982983,,-9906.770481333419
15,0.0036101405255143247,-0.00014671034033994024,-0.0008018420765110036,-0.0007803048475515604,0.0006579886660132697,-0.0004529465619428516,0.0006579886660132697,-0.0004529465619428516,-9892.029275103168,-9748.613960038889,-9745.331047430658,-9749.369884887108,-9749.327776227736
16,0.0,0.0,0.0008670219930345769,0.0012209402535248042,0.0,0.0,0.0,0.0,-9903.887632493004,-9782.778122656708,-9779.312959868803,-9783.019704385117,-9783.161090568636
17,0.041296639816264,0.03665590942975774,0.0,0.0,0.02893078709592487,0.030567647759473137,0.02893078709592487,0.030567647759473137,-9972.982863569872,-9795.942502353977,-9798.579764196698,-9799.052928198622,-9796.575460043026
18,0.0018075522867661733,0.001882043885437519,0.0018075522867661733,0.001882043885437519,0.00038770756378241793,0.0014863187797952812,9.716743485269148e-05,0.00033344555058593435,-9998.446041528518,-9865.068324698572,-9865.028424037631,-9866.872717183329,-9867.01820157606
19,0.534911781254286,0.5411435981604542,-5.716875842775222e-05,0.0007444904455929949,0.10612849200593943,0.11426301338482418,0.0,0.0,-10172.9287096895,-10067.847077134926,-10086.92843795293,-10089.220513453767,
20,0.011107673235609256,0.010896576658481417,0.013822564914478525,0.016302632174606632,0.0020700304307669764,0.003038359157023415,0.005278298185760157,0.008271176736376243,-9880.352024718703,-9742.818634620267,-9741.161120324978,,-9745.818981919892
21,0.0023834128108977436,0.0016059315860193295,-3.072675825215963e-05,0.002392530010799616,0.0,0.0,0.0,0.0,-10163.450153016836,-10027.376302135763,-10024.764179744257,-10025.079033338123,
22,0.0029603349634002097,0.2022377628126523,4.194535550841894e-05,-0.0018589240960318974,0.01970396923322016,0.022647723456732695,0.0,0.0,-9991.784949763682,-9888.0883207969,-9880.138550765829,-9884.106635348813,-9882.58098981489
23,0.34913411534641553,0.4251345601053031,0.0005106541447817073,0.00031960791533460853,0.0030508158539604827,-0.001753141917509146,0.07410330361280548,0.0680681919094325,-10091.747840388682,-10002.468895215285,-10007.991179629485,-10011.842707853752,-10012.463198116999
