iteration,global_ari,average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,prior_random_loss,prior_kmeans_loss
0,0.9760953012611165,0.9761522019741415,0.9291510399040422,0.9289391779678662,0.9291510399040422,0.9289391779678662,-11192.13682012116,-11172.320555080609,-11177.527222769239,-11177.527015157377
1,0.9368977708572352,0.9366453775376467,0.9368977352403174,0.9369686312299594,0.9368977352403174,0.9369686312299594,-11127.029110912514,-11102.446431364639,-11106.737983080926,-11106.737979637974
2,0.9214379584608567,0.9216009523870667,0.9524765057602629,0.9524566436163727,0.9524765057602629,0.9524566436163727,-11476.865171555504,-11449.458020649461,-11456.005252762085,-11456.00525133475
3,0.08110063852918034,0.8004868470114974,0.9524797973942409,0.9531313131313132,-0.0020078049292671526,-0.002312580983525637,-11455.920568808191,-11464.810899194952,-11444.116050297385,-11689.181651984016
4,0.8758473162609216,0.8773332854685482,0.00022137629857025515,0.0018115008396550395,0.005369370103748339,0.00966398157450984,-11356.587950948497,-11314.040965628345,-11580.721899080912,
5,0.9368977906606135,0.9371309472485547,0.9291543349113979,0.9296170652106713,0.9291543349113979,0.9296170652106713,-11231.999608799195,-11205.317817375582,-11208.67268583463,-11208.672562505704
6,0.9291540625000051,0.929613468448888,0.9446731544891418,0.9449671959812246,0.9446731544891418,0.9449671959812246,-11173.137324635527,-11155.744254176463,-11160.109473372748,-11160.10947640555
7,0.9681922747607277,0.96815934172729,-0.00033249265490082464,0.0026059491305979315,0.9603205123301661,0.9601586834545799,-11260.94225842151,-11241.972097112006,-11491.16872223851,-11246.574566998144
8,0.8683591954730375,0.8711131231394201,4.2092736862769894e-05,-0.00015692302765368048,0.8909163826588622,0.8923564323247938,-11289.962499424195,-11255.01947842034,-11475.128666058205,-11260.43074273982
9,0.6329055560106824,0.7531767857902987,0.9291540530311222,0.9297742888849884,0.03667221185277921,0.0628174727566755,-11160.59352298985,-11190.828258506015,-11143.496138514527,
10,0.9524772731062711,0.9526457071249215,0.0,0.0,0.9214356566189069,0.9214519298664049,-11120.753720287514,-11099.872280258853,-11489.50258939857,-11103.109506415478
11,0.9291529617618343,0.9291197121765995,0.9061149819003964,0.9064097165458399,0.9061149819003964,0.9064097165458399,-11012.610165600014,-10992.45298756923,-10996.611375083423,-10996.611404930349
12,0.9137624860793706,0.9150656035704625,0.9061148884638575,0.9065805500846027,0.9061148884638575,0.9065805500846027,-10992.22515368903,-10967.965916029578,-10968.231245929022,-10968.23124486169
13,0.9603204221731351,0.9603199753100565,0.0,0.0,0.9446731811099929,0.9446436586584147,-11303.95387455235,-11287.587802831822,,-11291.639186554079
14,0.921442873151975,0.9216117196646859,0.9137635824668447,0.913612884880598,0.9137635824668447,0.913612884880598,-11217.62163806403,-11190.946265060804,-11194.279658763322,-11194.279678715671
15,0.929140701865355,0.9291153647516219,0.003991112962394287,0.0005080040138409307,0.003991112962394287,0.0005080040138409307,-11116.566220287514,-11086.904343948125,-11329.37747611152,-11329.377423394533
16,0.6201982810534646,0.7838471166244191,0.9603206139093168,0.9603200653711088,0.0009813649942087015,0.0016495376110217531,-10978.031958504685,-11035.66207780447,-10969.253063413158,-11257.308387902347
17,0.9061158183566643,0.9062497648781696,0.388154879754242,0.8395590078951981,0.0,0.0,-11279.387529873846,-11253.284436017762,-11307.212811025098,
18,0.9603205790705823,0.9603212164969289,0.9446733111422435,0.9446436833840768,0.9446733111422435,0.9446436833840768,-11267.733048284359,-11251.916634843155,-11255.349344234077,-11255.349342733818
19,0.9291540354044258,0.9294516150356007,0.9137631834935523,0.9139360987847136,0.9137631834935523,0.9139360987847136,-11180.363177382842,-11142.269870276717,-11149.39021853679,-11149.390213793271
20,0.9681923543487778,0.9684838568458123,0.9446733085256775,0.9446442946851044,0.0,0.0,-11220.496986969172,-11208.880692062698,-11211.945763611278,
21,0.6202016374437914,0.7284700897989642,0.9368977708572352,0.9366437526971272,0.9368977708572352,0.9366437526971272,-11164.936214332021,-11214.411056547813,-11144.404029279256,-11144.404064306957
22,0.6138744733665953,0.7371296789336241,0.0,0.0,0.9137634578102526,0.9140988175118814,-11260.965531730853,-11317.072506216644,-11571.18203890577,-11232.294689126888
23,0.9919999982810025,0.992,0.9840320626466431,0.9839995611635629,0.9840320626466431,0.9839995611635629,-10966.866332832491,-10955.914373170706,-10959.627480743458,-10959.627486936064
24,0.8609050250973905,0.8619852229387973,-0.0058261430366666695,-0.005217082659613184,-0.002716008040653084,-0.0027323401123012124,-11180.064349257842,-11176.112599479406,-11367.837509139015,-11368.26415361169
25,0.9061161857479282,0.9069014594655457,0.9137634207501152,0.9136101692933574,0.9137634207501152,0.9136101692933574,-11301.907565638212,-11274.294682767319,-11274.035450955986,-11274.035440743246
26,0.9524772731062711,0.9529543399873448,0.9368928970803924,0.9374233991758316,0.0,0.0,-11039.272295498846,-11021.983279450973,-11025.307713651044,
