iteration,global_ari,average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,prior_random_loss,prior_kmeans_loss
0,-0.004482616414130614,-0.0022341517831524333,-0.0005372996754200452,-0.0005926784880256398,-0.0005372996754200452,-0.0005926784880256398,-10169.794592245691,-10074.65515387631,-10076.524165020433,-10076.523724419629
1,0.0004722084230026124,-0.0011151474858304617,0.0004611683854498105,-0.0009818030080606965,0.0,0.0,-10014.14951543366,-9916.889943645972,-9917.554885093852,
2,0.014347533476678309,0.015429088811161156,0.0006639165226487879,0.0023449436948677536,0.002860036620939405,0.006119873772345982,-9894.488969230853,-9759.326789033506,-9762.829762404801,-9760.688457437567
3,0.0,0.0,0.03948384045439442,0.03455453571961888,-0.0007588018433151988,-0.0007496015156793203,-10149.732256436346,-10038.289181459799,-10038.252091114076,-10038.088563179925
4,0.04213723852247339,0.04567195106915344,-0.00018125974741836526,-0.0015352254469777845,-0.00018125974741836526,-0.0015352254469777845,-9901.101212346859,-9771.744692338867,-9776.520816556218,-9776.485928648655
5,0.028736739511935058,0.03822794548707718,0.0,0.0,0.0,0.0,-10105.975276832021,-9993.90706619047,-10000.564484275084,-10000.549814013257
6,0.5646271426624971,0.5670215762567232,0.0026748710798075188,0.002210694940591331,0.21001341340740254,0.20636564675660515,-10180.30260998401,-10067.146216562487,-10101.567952335246,-10095.970897524589
7,0.0021360710441121348,0.0007792952567614614,-0.00018620053191906847,-0.0011348036226073149,-0.00015513894699928208,-0.00131853754528515,-10120.016436123846,-9972.773186419025,-9974.97520535778,-9975.744978676956
8,0.007381566048441095,0.006789427351256776,0.0014126242444810855,0.00035854442442638794,0.0,0.0,-9969.351314966018,-9804.375887414888,-9806.427627157527,-9808.333095630884
9,0.0005329525522698048,-0.0011810401174255066,0.0,0.0,-0.0017392684343942079,-0.0018988759880669542,-10056.911841317185,-9925.506521337722,-9928.478559399791,
10,0.13294743933479422,0.14065559810338574,-0.00414577644064161,-0.0037977887322175213,0.16474355968741533,0.15975525059117568,-10157.275348329336,-10031.43566311103,-10038.132803933568,-10035.902035735739
11,0.011478665587098357,0.009770162190094777,0.0,0.0,0.0,0.0,-9822.287715260527,-9672.50418406132,-9673.858777300487,
12,0.33941037088780157,0.339369413107942,-0.008836120669037212,-0.011609766206276878,-0.008836120669037212,-0.011609766206276878,-10125.509353900363,-9996.67650165143,-10006.88040821388,-10006.880435371433
13,0.4397790182846864,0.45363735892225154,0.0008379901374256166,-0.000743112577172687,0.0008379901374256166,-0.000743112577172687,-10059.171791656672,-9937.765185910332,-9969.720987597055,-9969.731758771652
14,0.13939774757203974,0.1857825898855775,0.0006671340038248776,-0.002133215647371904,0.0006671340038248776,-0.002133215647371904,-9921.715634350014,-9799.476947019499,-9806.695966355044,-9806.694383819426
15,0.25251328026127384,0.24704014191074553,0.0010533137159789224,0.002342606149341142,0.0,0.0,-10052.03828992782,-9940.040983704495,-9950.693849208441,-9951.993873485095
16,0.002027775982800304,0.0010907143204947167,0.0007493607032682356,0.0002769576365687346,0.0007493607032682356,0.0002769576365687346,-9950.580642962863,-9801.920906661982,-9797.853761096061,-9797.853754002484
17,0.35392837841920266,0.36868677973113057,-0.00023725993829350078,-0.0010838551502667661,0.008090678453292883,0.0016634784267135923,-9790.286193135997,-9660.132460619634,-9689.440024451133,-9688.462111871751
18,0.3122065011504447,0.31125359337592695,-0.0017323112944906114,-0.0011659350987036736,0.003088256033466363,0.002127652353815914,-10163.902075692185,-10020.606893323995,-10035.811251888443,-10034.017806243213
19,0.002055342448579068,0.0,-0.0016098468320141677,0.0005976650775892227,-0.0016098468320141677,0.0005976650775892227,-9859.61500736485,-9732.386808376074,-9727.342908881657,-9727.343023700561
20,0.3033165796804507,0.3140315644073646,0.0,0.0,0.0,0.0,-10019.256855213333,-9892.939055250727,-9908.011935169983,
21,-0.0003004195014298144,-3.151971959045449e-05,-6.349304693531479e-05,0.0006957530076822728,0.0,0.0,-10065.614473745221,-9901.114449719322,-9902.78094704862,-9903.335017806232
22,0.0006715398754470073,0.0006397103728861219,0.0,0.0,0.0006715398754470073,0.0006397103728861219,-9891.680375480853,-9729.704537027153,,-9729.91780764237
23,0.0001967235538417382,0.0006957530076822728,0.0001967235538417382,0.0006957530076822728,-0.000454012693458543,-0.00031894144647212446,-10004.558140977699,-9897.675066131622,-9898.126257063805,-9892.470211936925
24,0.016099046410679007,0.01474902027280282,0.02098607813885288,0.020172008014989057,0.056774348039604426,0.05827113526484019,-10115.184486969172,-9970.74067230553,-9971.951127097514,-9972.380751503235
25,0.19904383584735705,0.1976828605951922,0.0,0.0,0.08058794673195407,0.08210290743365005,-10030.590634350014,-9890.229311264813,,-9891.450778931474
26,-6.481816191181795e-05,-0.0051106302334276875,0.008454247589154393,0.007924392651337212,0.010103299804341536,0.009516359592060644,-9965.250708504685,-9812.943768385501,-9810.785178533606,-9810.770077840189
27,0.2525232820317489,0.30185197240567285,0.0013043215810299548,-0.001435141836047853,0.0013043215810299548,-0.001435141836047853,-9948.14214587653,-9822.688029490735,-9843.369815462558,-9843.330955920086
28,0.0007279110318964404,-0.00300821600037698,0.0,0.0,0.000276431708875216,1.427637013092014e-05,-9833.106403016836,-9752.02600613103,-9758.116822353231,-9756.29145126651
29,0.19548360910519022,0.23824945651707302,-0.0007588018433151988,-0.002274891251268548,0.01496503055653562,0.02436777618840976,-10143.280066951182,-10024.359801815139,-10032.637394490284,
30,0.5949085570936206,0.6023660330131027,0.0,0.0,0.12681468929169581,0.12059869309818674,-10106.060340388682,-10008.278066485062,,-10034.516803990366
31,0.4135686797018332,0.4098800140161532,0.19908977072950604,0.21656936825786904,-0.009319566857341217,-0.010818238987437497,-10103.281958504685,-9987.636383986452,-10002.872082622534,-10007.174620233265
32,0.002814244943985018,0.004660012813635189,0.0,0.0,0.0005609985000495883,-0.0007444228734768356,-10123.056372567185,-10004.065766087597,,-10007.340843288168
33,0.2405135452537097,0.24730853145425263,0.0,0.0,0.0,0.0,-10100.246113025833,-9999.256430170892,,
34,0.43974714044729374,0.4454952971031978,0.28560309150991864,0.29058849607491793,0.28560309150991864,0.29058849607491793,-10304.147131308191,-10187.588126198636,-10209.567462327233,-10209.568277428094
35,0.01695536327954961,0.01358904995309441,0.0,0.0,0.04074326467416594,0.044199372604704364,-9938.409970287514,-9803.546993960788,-9813.897106926257,-9809.868389819343
36,0.0029968426093781595,0.0027741801656013644,0.0005106317381711676,0.0,0.0005557658655961898,0.0,-9750.494200948497,-9608.989236340885,-9617.587498547919,
37,0.0027228693820191634,0.0010094045720149547,0.006055385255995587,0.0025449912673792146,0.07004078768248506,0.06572851281002498,-9907.452774846859,-9763.361991146592,-9764.837921363092,-9765.392745093426
38,0.607607250365376,0.6185712967293242,0.0023802596159492755,0.007965477074338827,0.0023802596159492755,0.007965477074338827,-10048.58678967151,-9943.629038019895,-9969.905996592974,-9969.91179880149
39,0.028277637487103224,0.022918993822973292,0.0005609985000495883,-0.0005639446780821619,0.011368965599486986,0.0020348780695917967,-9907.298477971859,-9794.629540364976,-9799.464668461475,-9800.254510914257
40,0.016890883838622386,0.019645684397234995,0.001703291883567479,0.002377985101656626,0.0,0.0,-9948.596432153518,-9785.217434426597,-9790.422758742023,-9793.480528071574
41,0.010146401915857072,0.005144207070300557,0.0,0.0,0.0,0.0,-9864.27135998401,-9733.550447747042,-9734.92945277492,
42,0.00041895159479966393,-3.9413141136814465e-05,0.0,0.0,0.00032066673026556817,0.0016689139733332193,-10135.71050525153,-9978.570444687348,-9980.018857642475,-9977.84684925998
43,0.40842278358928497,0.4222033941841419,0.0,0.0,0.0,0.0,-10247.475297355853,-10110.60830382452,,-10129.57363911001
44,0.11348530370757987,0.1462688249048019,0.0,0.0,0.0,0.0,-10142.306577805504,-10039.037545505824,,-10048.431003482774
45,0.00045454696969418997,0.0006686711511653526,0.0,0.0,-0.00037975924271519996,-0.0025512595599955683,-9921.729142034359,-9763.810971961499,-9769.297842871249,-9766.938662383733
46,-0.000874174012037552,0.0016942642804564547,0.0005860107247257204,0.0016942642804564547,0.0,0.0,-9848.547686123846,-9719.352889669774,-9719.841864731714,-9721.9001554174
47,0.021016245508957688,0.016400953136577755,0.0026668068817714903,0.0009041558662852941,-0.00011714828087141613,0.001562389801421945,-9893.575862769521,-9794.216125104676,-9799.010237620245,-9798.263374456745
48,0.002772050344533456,0.0011652828769645445,0.017596747043374585,0.013867581501214971,0.016512211096169252,0.012617103017177708,-10101.09319460854,-9953.345630888138,-9954.35862825613,-9954.35578666367
49,0.0016376296283229807,-0.0015328576536646308,-0.012831619391849165,-0.00923539227733779,0.01040366370738684,0.0047316579883680794,-9880.729511463333,-9749.769737158407,-9749.922390250802,-9750.307501520268
50,0.0008357923289661055,0.0014667399816979873,0.005744796689119127,0.0015375103381799415,0.005744796689119127,0.0015375103381799415,-9824.263465388682,-9689.447377438983,-9692.778011693881,-9692.77783396859
51,0.0017124767121311528,0.0003341562209531109,0.0017124767121311528,0.0003341562209531109,0.0,0.0,-9757.965654873846,-9631.717160198317,-9631.951572802864,-9632.711025223012
52,0.08589548163489712,0.08945087873835361,0.004776369432520293,0.01449636786451038,0.0,0.0,-9930.999731942185,-9834.598401369569,-9836.653699241459,-9840.637086392842
53,0.08994367476248043,0.13812463790846438,0.0,0.0,0.0,0.0,-10205.74761462653,-10075.33924279869,-10084.57757570913,-10084.577575708734
54,0.0020590781794214423,0.0026563395113933484,0.0,0.0,0.00016326739678139136,0.0001633280491905654,-10208.189061924195,-10054.851818773965,-10057.480162721673,-10056.218841974347
55,0.015411828294119592,0.014027362586550195,0.0011370400292945396,0.0010788207149311543,0.00011256519855535447,0.0025291124078021974,-10119.644181096859,-10002.827047353703,-10003.872805130317,-10002.0879697042
56,0.0007990751467887447,0.001687712251705145,0.0,0.0,0.0,0.0,-10085.766436123846,-9959.442216885198,,
57,0.0041921098855365845,-0.0026897355199950366,0.0001967235538417382,0.0,0.0,0.0,-9958.376767162514,-9827.302379727753,-9829.582336410913,
58,0.22845878840843206,0.22729593363113695,-0.0010377639281259742,-0.0007658423831414516,-0.0010377639281259742,-0.0007658423831414516,-10194.834065222329,-10086.876815660944,-10104.445396540003,-10104.445401562518
59,-0.00021991050133393137,0.0013996584161861472,-0.00012598601017541888,0.0008888888888888889,0.0,0.0,-10058.992752337863,-9924.936582141085,-9925.635375342863,-9926.361530900385
60,0.005216187119771614,0.014982369947835084,0.0,0.0,0.0,0.0,-9927.655776703867,-9808.628906665092,-9811.22111390604,
61,0.003064426774055276,-0.002594198589077729,0.0,0.0,0.0,0.0,-9884.92414667688,-9714.794347538518,-9717.430939439428,-9717.4476256268
62,0.10318294099513432,0.1129618574101731,0.0,0.0,0.0,0.0,-9972.119828605853,-9859.942043397883,-9862.564026628908,-9863.833705567411
63,0.011890811969752375,0.007831087696537615,0.045427679201420795,0.04134482479212616,0.045427679201420795,0.04134482479212616,-10306.418266778048,-10143.613294171964,-10146.306180389705,-10146.29834713086
64,0.3782511348884465,0.42047954758291617,0.00800890827947748,0.005099827218977584,0.009597017312228071,0.006953317515303823,-9857.983150903518,-9726.225920581343,-9746.659634326974,-9746.676221457918
65,0.11660590685007519,0.1127993867792976,0.002414897838224976,-0.00025872049220127533,-0.00013237390476777082,0.006598097986715503,-9901.983253522678,-9795.049518198086,-9798.210798462871,
66,0.002296940094682687,0.006494778421606777,0.000837063446522627,-0.0033930671559610145,3.372594767926708e-05,0.0007692720196657325,-10116.685278817185,-9978.009051221676,-9981.593080262735,-9978.98568752943
67,0.09059764691141464,0.08471769241841771,0.025787417659669975,0.02380007517150154,0.0,0.0,-10113.404049341018,-9987.77277644376,-9991.428679148072,
68,0.004273727841864628,-0.00013679427181238117,3.206515228510384e-05,-0.0004540709913559345,0.0,0.0,-10012.630570793353,-9906.652055030241,-9908.705295882484,-9909.26544911285
69,0.0011250801143578588,-0.003110490059728958,0.0008681385691734218,-0.0024951154054070317,0.0,0.0,-9943.486913486695,-9801.261817971923,-9802.152851374389,-9806.47776086142
70,0.11049866019664381,0.11010759671499948,0.00745188007778367,0.007046233792275059,0.0,0.0,-10249.156207704336,-10144.832035992855,-10147.934814108314,-10153.288312093642
71,0.5228664804623675,0.5230799269917109,0.03837121504904206,0.03743585370197554,0.09800829911710406,0.10387518205579767,-10102.160823707021,-9987.81562976557,-10008.165583288244,-10006.956002418028
72,-0.0008904612594334251,0.003787422312222834,0.0008896015903045093,0.0017985892900813985,0.0,0.0,-10062.658644819872,-9917.367853229922,-9918.448567915755,
73,0.037349738537259036,0.03458749675663168,0.0388880122132251,0.03626382487461206,0.0388880122132251,0.03626382487461206,-10010.912108127,-9911.97066568241,-9912.205660705355,-9912.20622866441
74,0.4084163252020203,0.41136532520120184,0.0,0.0,0.05401683512729974,0.05797749253014618,-10139.432308082021,-10003.920739048835,,-10012.977175400269
75,0.007251348968016538,0.0051905887270617505,-0.00018750213725540673,0.0,0.0009569488462780717,-0.00014264665752276032,-10164.370743596859,-9987.881876320453,-9993.580543064305,-9993.29299003331
76,0.001737130633455728,0.0029196651019440566,0.0,0.0,0.0,0.0,-9932.263383293353,-9782.857719374493,-9784.186427888615,
77,0.00803700540836464,0.006177765704292905,0.0,0.0,-0.0009350067497942662,-0.001743809249152729,-10040.615717117535,-9918.382855460368,,-9918.246135986801
78,0.3832441350995942,0.38036610470056426,9.716743485269148e-05,0.00033344555058593435,0.0,0.0,-10121.932595415668,-9988.500027627866,-10013.565383855344,-10014.951283298044
79,0.0021557668128716952,-0.0006022627839790236,0.0012007967358244876,-0.0020854854324299475,0.0012007967358244876,-0.0020854854324299475,-9917.164020204336,-9759.886424537994,-9761.992354060063,-9761.992367293831
80,0.0018153307686137043,0.0008776490712266858,0.0,0.0,0.0,0.0,-10185.75152087653,-10072.345045141501,,-10077.358984717013
81,0.1669177295514949,0.24255141971904376,0.0,0.0,0.10561735618665226,0.11714334668072661,-10247.531958504685,-10139.806924559933,,-10162.86376615446
82,0.013417370666155146,0.01538183814212898,0.0009033123003270136,0.0012196033058717575,-0.001864131658281172,-0.000987816170775956,-9922.421360656203,-9762.964771505349,-9764.534544647697,-9764.579576526861
83,0.04329437355112463,0.04025398690854613,0.0,0.0,0.0,0.0,-9881.689513448497,-9752.631445647703,-9755.592225816128,-9755.622127656272
84,0.10612849200593943,0.1181191736891181,0.0003899067195873169,-0.0021499162589125485,0.0003899067195873169,-0.0021499162589125485,-10061.310299341018,-9932.162742851524,-9941.187303503684,-9941.187350605134
85,-0.0007797224001774675,-0.0008569898232458489,-0.0007797224001774675,-0.0008569898232458489,0.0,0.0,-9835.792782787514,-9719.067851153186,-9719.543405384293,-9719.476900209263
86,-0.00037680048106592543,-0.0032269791655163554,0.0,0.0,-0.0008735738497905159,-0.002274891251268548,-10007.100502594172,-9872.186308686689,-9874.41897536718,-9873.447580276616
87,-0.0009282420476133567,0.0,-0.0006470288592156272,-0.0005926784880256398,0.0,0.0,-10233.411841317185,-10102.072814389396,-10103.807104998421,-10103.483889259802
88,-0.0009674730773410066,-0.0013853288498324589,-0.0003788355321425054,-0.0007594917991548447,-0.0003788355321425054,-0.0007594917991548447,-10148.900019948027,-10017.387698195904,-10017.92012587759,-10017.945040396953
89,-0.0002699298834924381,-0.0042466950987317745,0.0010381854770542826,-0.0032620312872709014,0.0001378143043959799,-0.0005926784880256398,-10241.62444460854,-10060.673831798238,-10066.798099357191,-10066.970474402426
90,0.01107168983205431,0.014207735568689914,0.00918575684007015,0.005889411930485091,0.02982567450721747,0.024934627509201356,-10060.42437243903,-9907.913116818494,-9911.747089820163,-9912.52054399066
91,0.003393782071696209,0.004683179524855111,0.0014606648600447357,-0.0007846403826678063,0.0014606648600447357,-0.0007846403826678063,-9844.732153817185,-9717.75888069767,-9721.251912621388,-9721.251300057533
92,0.11136469646463214,0.10326897384420648,-0.0010693500176705288,-0.00040500864700606184,-1.1256141347984021e-05,-0.002434410833747728,-10209.930519147678,-10061.850819274745,-10069.52516663847,-10068.098436775528
93,0.0751947896264405,0.11921872576777656,0.0005836786776225259,0.0005107695272972583,0.0005836786776225259,0.0005107695272972583,-9959.64312243903,-9811.548625737158,-9820.017591380634,-9820.01729203664
94,0.05009576551448724,0.05062795081190267,0.018863543345890098,0.013271212759331536,0.01772386281411908,0.012199653493877746,-9862.800574763682,-9716.587199690384,-9717.838401301306,-9717.843225106124
95,-0.002694092874484749,-0.004337156825596193,0.0,0.0,0.002765719863731955,0.004891419567816149,-10055.502764248846,-9945.021316860393,,-9947.012428287411
