iteration,global_ari,average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,prior_random_loss,prior_kmeans_loss
0,0.025126402631710173,0.022346835847303525,0.0,0.0,0.8758480931220337,0.8779815249252163,-10821.238928183191,-10948.151454867098,-10949.13815041369,-10791.628436771036
1,0.0009711150057751206,0.0008489082118456738,0.0,0.0,0.0,0.0,-10903.596473201182,-10909.55809777615,-10915.975032913027,-10916.0339918158
2,0.013748610421887675,0.003165243503713265,0.012339780777788394,0.0031767810708326375,0.012339780777788394,0.0031767810708326375,-10790.489215516836,-10917.248289180727,-10917.74709878866,-10917.747123744832
3,0.788119507680331,0.7868163942112043,0.06375053127079193,0.06470285265121054,0.00038770756378241793,0.0013468228023497618,-10952.501582448027,-10902.87515967576,-11022.524352915938,-11022.133520827934
4,9.6196983717923e-05,-0.0028201877045895096,9.6196983717923e-05,-0.0028201877045895096,9.6196983717923e-05,-0.0028201877045895096,-11064.267104828867,-11122.870882308915,-11123.445646187962,-11123.45542751799
5,0.9368975462072318,0.936642384392164,6.489882528926777e-05,0.00032849619252034234,-3.1873015856761384e-05,-0.00015692302765368048,-10938.1728503145,-10907.42322586894,-11045.904589421349,-11049.10549851201
6,0.03350251737288285,0.030764174190385248,0.04078643306445179,0.04658481978080107,0.0039055633266170944,0.002730219109979383,-10804.705035829336,-10899.284225621677,-10908.685584645922,-10908.060463091031
7,0.8533871406228608,0.8527863498743178,0.0,0.0,0.0,0.0,-11074.546360656203,-11033.222371329279,-11212.590623771743,-11212.590619789089
8,0.0005829600081200244,0.00042877465266307326,0.0,0.0,-9.428816943229404e-05,-0.0005810948242862701,-10924.586851243004,-10996.792139425874,-11005.254659642796,-11003.456788226544
9,-0.0009193039805369588,-0.001267133185374153,-0.0006422660312947975,0.0001617442499919128,-0.0006422660312947975,0.0001617442499919128,-10864.111769819872,-10946.340802582477,-10947.694277588678,-10947.69423741024
10,0.8683604925834989,0.8676778587849412,-2.2751963154028812e-05,-0.0004293504388350744,-2.2751963154028812e-05,-0.0004293504388350744,-10833.813229028518,-10789.94526313197,-10956.595891885403,-10956.653292716055
11,0.0022753246940548423,0.0028025199464580207,-0.00018707291620490558,-0.0011311850429373803,0.000272027817601613,-0.0014442041388160922,-10723.002435867535,-10766.813114662471,-10770.216514832193,-10768.486892965622
12,0.8985008046740597,0.8993883596122705,0.0,0.0,0.007214181046460957,0.010991562048358796,-10970.693152888682,-10942.462832490946,,-11101.00399823511
13,0.002619556489131975,0.002392127416390877,0.0008495080255643008,0.001301815690304899,0.28157884646721276,0.7807634054904417,-10551.181700948497,-10644.960628699828,-10647.971571561031,-10566.676412502937
14,0.5586499157610304,0.6703828824068492,9.316029599505335e-06,-0.002948608865510659,-8.821581797071552e-05,-0.00209161904226481,-10996.106887007372,-10971.148374979688,-11075.993162690103,-11075.913859719587
15,-0.0004242385566336003,-0.000982071485668608,0.0,0.0,0.0,0.0,-10659.615696593703,-10734.533414077569,-10734.866216710643,-10734.851854129663
16,0.01545625708128396,0.12650365965037297,0.0,0.0,0.0,0.0,-10918.961502337863,-11002.692314269578,-11013.77366253425,-11012.909324732698
17,0.8314064937856682,0.831435257191895,0.008829034450914782,0.0192955495130806,-0.0019025721155792321,0.0,-10816.159260534829,-10764.45115390448,-10937.924869860579,
18,0.5232231679026662,0.6369356574341,0.7322003732689008,0.7399783575879292,0.7322003732689008,0.7399783575879292,-10919.47047611485,-10893.705962081767,-10890.746776295931,-10890.746890803934
19,0.00016326739678139136,-0.0003077958928485548,-0.0001568647537703564,0.0,0.0,0.0,-11016.260330462863,-11053.084998755554,-11053.880134516334,
20,-0.001187080066103339,-0.0011830252214111113,0.0,0.0,0.0,0.0,-10941.133397861695,-10982.146789450759,-10985.146192211676,-10985.060917622686
21,0.0014237443018736838,0.0013346689690770137,0.0,0.0,0.0,0.0,-10791.143368725014,-10890.591031828064,-10893.667278214942,-10892.488617472589
22,0.8758475345297206,0.8758762760360282,-0.0004242385566336003,-0.0004529465619428516,0.0,0.0,-10820.278216445342,-10775.081834182,-10914.476097105327,
23,0.0004745719447087732,0.00033344555058593435,0.0,0.0,0.0004745719447087732,0.00033344555058593435,-10818.202733799195,-10894.26488360541,,-10894.295001884107
24,0.03313630284275188,0.12762565683582827,-0.00015588410445284317,0.0005336429031088403,0.0013899119496065724,0.005998712345101608,-10754.775060995691,-10806.299622206616,-10817.341168881678,
25,0.46676548531265494,0.6323970190873923,0.7881204763419178,0.7876302698359968,0.0,0.0,-10846.009394948027,-10842.369637378097,-10802.80534267083,-10923.43020869162
26,-0.0023552454254876795,-0.005867274184187675,-0.001446549626308234,-0.001292929292929293,-0.001446549626308234,-0.001292929292929293,-10859.048539543353,-10858.439602084934,-10860.713445426,-10862.81526427061
27,0.08389618524455726,0.18118697513146353,0.0,0.0,-0.004667306668726331,-0.007983859827030539,-11061.766436123846,-11118.423862049975,-11145.198381855816,-11137.904728888261
28,0.739078123853655,0.7439096299824989,0.0,0.0,0.0,0.0,-10943.364051326182,-10890.04111740755,-11000.251050348013,-11000.286525858844
29,0.0008065306474943187,0.000962210740323001,0.0,0.0,9.716743485269148e-05,0.0017544729147048617,-10733.795507236695,-10793.850423407497,-10800.447743789447,-10799.753878837075
30,0.007879280369474072,0.011727188160911508,0.0,0.0,0.0,0.0,-10792.65905529651,-10840.846786307598,,-10848.840326935939
31,0.007285294787554442,0.029888690210446524,-0.0004663234975745047,-0.0006216419481559158,-0.0003429436742078051,-0.00031384605530736096,-10871.024433338333,-10974.701857309952,-10979.420610391719,-10978.369914197237
32,0.7810191210028358,0.7822089520529277,0.0012502748628180822,-0.0012934803144071037,0.0,0.0,-10786.533726915199,-10720.44291586935,-10826.25670557059,-10830.51449579829
33,0.8387330857599978,0.839917220597916,0.0,0.0,0.0,0.0,-10875.212478900363,-10823.689061622785,,-10939.738127270884
34,0.010655879372834343,0.007019889103174455,0.0,0.0,0.000333334401712826,-0.0003077958928485548,-10917.966610912514,-11017.012465645426,-11020.309069596093,-11018.658589629906
35,0.002286848692893647,0.002293302894733454,0.0005836786776225259,0.0017544729147048617,-0.0005093525538803316,-0.001219209991574565,-10687.002013448497,-10814.324520237215,-10815.2709606808,-10814.827264735111
36,0.5174572560361096,0.6567129931467097,0.7950076568928622,0.7954490124005015,0.7950076568928622,0.7954490124005015,-10949.269365811346,-10951.440911193125,-10911.524757956873,-10911.52468814499
37,0.868359320800143,0.8693298165318815,0.8683585937371968,0.8699740064908033,0.0,0.0,-10866.569962346859,-10825.283821026744,-10831.744661146126,-11012.139069052195
38,-9.47328211527134e-05,-0.00042408741993513416,-3.1873015856761384e-05,-0.0003077958928485548,0.00046279561459586704,-0.00013861558896982422,-10633.853957319872,-10688.508287102099,-10689.194349712943,-10688.913627993326
