iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.9446656239690996,0.9444602920005651,0.9446656239690996,0.9444602920005651,0.9446666893006243,0.944468844766907,0.9446666893006243,0.944468844766907,-10961.416826748846,-10935.170328771543,-10935.182566408455,-10939.597065715554,-10939.597065715552
1,0.9603204221731351,0.9603146378009647,0.5586145631199279,0.738994105053835,0.9681921648819638,0.9681589982527109,0.9681921648819638,0.9681589982527109,-11394.541703605853,-11379.339747681852,-11448.871008852295,-11382.494853630244,-11382.494853630256
2,0.9214387786250525,0.9217720035639747,0.4828377688182144,0.6360440253562302,0.9061113240057771,0.9059307669291409,0.016539204294377313,0.7922859127179913,-11355.37542117104,-11316.50078621853,-11522.641553678017,-11317.899503072895,-11405.578831251707
3,0.9603205790705823,0.9606447856933936,0.023283886883522308,0.18817011343426857,0.944673259948517,0.9446443468569565,-0.0003571424423917095,-0.0028625583048783126,-11206.017310067185,-11183.238270055654,-11383.12722200482,-11187.896600215132,-11450.995784789922
4,0.9368944964628994,0.9366213575650942,0.9214387786250525,0.9211046862045691,0.9368937649021418,0.9366111468568683,0.9368937649021418,0.9366111468568683,-11419.943924212863,-11398.590202654257,-11405.678935935164,-11402.34293986307,-11402.343741088807
5,0.936897687751031,0.9368061141355681,0.936897687751031,0.9368061141355681,0.9214426898951981,0.9219361377786296,0.9214426898951981,0.9219361377786296,-10961.766292457021,-10931.953983091917,-10931.86602924249,-10937.091089642212,-10937.09103547768
6,0.684733711854885,0.7658740531895074,0.004065559775291592,0.0014863187797952812,0.008641342663210587,0.0032772443262114453,0.005161687943128184,0.001648063029787194,-11158.71178967151,-11193.954976915948,-11333.410728451096,-11333.925358788489,-11333.894578344143
7,0.9061019342890484,0.9059196715934762,0.09257246532517245,0.17782877637855765,0.008886340468535413,0.008015086165890268,0.002380132200143005,0.0014651437394954643,-11025.570836290199,-10997.44371180087,-11197.452923393883,-11248.994203769154,-11250.243129041979
8,0.9524571477811344,0.9524697277020134,0.0037076800595283003,0.002781794058309099,0.058290545484337646,0.05291330825281226,-0.0007151055560148745,-0.0013696160495490451,-11057.088053567655,-11034.874750426927,-11260.013702341483,-11261.932362398114,-11260.89762641304
9,0.9760961549067629,0.9761602586080226,0.0,0.0,0.9368976723267289,0.9368055678564924,0.9368976723267289,0.9368055678564924,-11067.718789799665,-11046.95497050518,-11328.092165730617,-11052.086014255117,-11052.086018566859
10,0.944672423770906,0.944321430053933,0.9368965690073293,0.936483046215549,0.9214413587743683,0.9209689798253095,0.9214413587743683,0.9209689798253095,-11497.066302382842,-11470.601302157573,-11472.036679190342,-11474.10182765246,-11474.10182765198
